Athlete_ID,Name,Sex
70655,Liu Xiangrong,F
70659,Liu Xiao,M
70660,Liu Xiaobo,M
70665,Liu Xiaotong,F
70666,Liu Xiaoyu,F
70667,Liu Xin,F
70677,Liu Yang,M
70679,Liu Yaxin,F
70687,Liu Yingzi,F
70689,Liu Yongshi,F
70703,Liu Zhaowu,M
70710,Liu Zige,F
71207,Long Qingquan,M
71894,L Bin,M
71898,Lu Chunlong,M
71906,Lu Haojie,M
71909,Lu Huihui,F
71920,Lu Wen,F
71921,Lu Xiaojun,M
71922,Lu Xiuzhi,F
71924,L Yang,F
71926,Lu Ying,F
71929,Lu Yong,M
71933,Lu Zhiwu,M
72393,Luo Xi,F
72395,Luo Xiaojuan,F
72396,Luo Xiaoling,F
72399,Luo Ying,F
72401,Luo Yu,F
72402,Luo Yutong,M
72717,Ma Duanbin,M
72722,Ma Huanhuan,F
72724,Ma Jianfei,M
72726,Ma Jin,F
72735,Ma Long,M
72736,Ma Menglu,F
72739,Ma Qing,F
72743,Ma Wei,F
72749,Ma Xiaoxu,F
72750,Ma Xuejun,F
72753,Ma Yibo,F
72756,Ma Yingnan,F
72760,Ma Yunwen,F
72761,Ma Zengyu,F
74675,Mao Feilian,M
74678,Mao Yi,F
78211,Mei Xiaohan,F
78704,Meng Fanlong,M
78714,Meng Qiang,M
78716,Meng Suping,F
79299,Mi Yang,F
79311,Miao Lijie,F
79316,Miao Tian,F
79317,Miao Yihua,F
86449,Ning Zetao,M
86568,Niu Guannan,F
90045,Ou Zixia,F
90936,Pan Feihong,F
90941,Pan Qiang,M
91037,Pang Fengyue,F
91038,Pang Jiaying,F
91043,Pang Wei,M
93008,Peng Fei,M
93009,Peng Lin,F
93011,Peng Shuai,F
93013,Peng Yang,F
97365,Pu Qifeng,M
97755,Qi Yuhong,F
97764,Qiao Sen,M
97767,Qieyang Shenjie,F
97768,Qin Chenlu,M
97771,Qin Kai,M
97772,Qin Qiang,M
97776,Qiong Maimaitituersun,M
97778,Qiu Bo,M
97786,Qiu Yuhan,F
97787,Qiu Ziao,M
99913,Ren Cancan,F
99922,Ren Mengqian,F
99924,Ren Qian,F
99928,Ren Wenjun,F
99930,Ren Ye,F
104331,Sai Yinjirigala,M
109205,Shan Danna,F
109207,Shan Jun,M
109218,Shang Chunsong,F
109219,Shang Keyuan,M
109220,Shang Rong,F
109244,Shao Ting,F
109246,Shao Yiwen,F
109532,Shen Chen,F
109533,Shen Duo,F
109537,Shen Jie,M
109545,Shen Pingan,M
109561,Sheng Jiang,M
109668,Shi Dongpeng,M
109674,Shi Jialuo,M
109675,Shi Jian,M
109676,Shi Jinglin,F
109681,Shi Qinglan,F
109682,Shi Tengfei,M
109683,Shi Tingmao,F
109686,Shi Yang,M
109688,Shi Zhiyong,M
110042,Shu Jianming,M
110043,Shu Junrong,M
110045,Shu Siyao,F
110125,Si Tianfeng,M
110126,Si Yajie,F
113113,Song Donglun,F
113138,Song Qingling,F
113154,Song Wenyan,F
113156,Song Xiaoyun,F
116059,Su Bingtian,M
116071,Su Xinyue,F
